
2 theta/deg	Intensity
   38.94059       711.0000    
   38.97401       693.0000    
   39.00743       640.0000    
   39.04086       662.0000    
   39.07428       668.0000    
   39.10770       690.0000    
   39.14112       721.0000    
   39.17455       622.0000    
   39.20797       650.0000    
   39.24139       606.0000    
   39.27481       601.0000    
   39.30824       634.0000    
   39.34166       631.0000    
   39.37508       590.0000    
   39.40850       650.0000    
   39.44193       630.0000    
   39.47535       630.0000    
   39.50877       619.0000    
   39.54219       656.0000    
   39.57561       636.0000    
   39.60904       582.0000    
   39.64246       592.0000    
   39.67588       635.0000    
   39.70930       619.0000    
   39.74273       612.0000    
   39.77615       610.0000    
   39.80957       578.0000    
   39.84299       623.0000    
   39.87642       630.0000    
   39.90984       652.0000    
   39.94326       627.0000    
   39.97668       609.0000    
   40.01011       627.0000    
   40.04353       606.0000    
   40.07695       574.0000    
   40.11037       616.0000    
   40.14380       609.0000    
   40.17722       615.0000    
   40.21064       570.0000    
   40.24407       630.0000    
   40.27749       647.0000    
   40.31091       583.0000    
   40.34433       603.0000    
   40.37776       639.0000    
   40.41118       608.0000    
   40.44460       575.0000    
   40.47802       577.0000    
   40.51145       561.0000    
   40.54487       568.0000    
   40.57829       587.0000    
   40.61171       522.0000    
   40.64514       583.0000    
   40.67856       576.0000    
   40.71198       579.0000    
   40.74540       593.0000    
   40.77883       577.0000    
   40.81225       578.0000    
   40.84567       543.0000    
   40.87909       588.0000    
   40.91252       572.0000    
   40.94594       568.0000    
   40.97936       585.0000    
   41.01278       555.0000    
   41.04621       562.0000    
   41.07963       606.0000    
   41.11305       546.0000    
   41.14648       555.0000    
   41.17990       598.0000    
   41.21332       578.0000    
   41.24674       556.0000    
   41.28017       584.0000    
   41.31359       523.0000    
   41.34701       515.0000    
   41.38043       545.0000    
   41.41386       565.0000    
   41.44728       531.0000    
   41.48070       568.0000    
   41.51412       552.0000    
   41.54755       523.0000    
   41.58097       467.0000    
   41.61439       531.0000    
   41.64781       609.0000    
   41.68124       543.0000    
   41.71466       548.0000    
   41.74808       568.0000    
   41.78150       569.0000    
   41.81493       528.0000    
   41.84835       548.0000    
   41.88177       570.0000    
   41.91519       527.0000    
   41.94862       583.0000    
   41.98204       557.0000    
   42.01546       545.0000    
   42.04888       536.0000    
   42.08231       516.0000    
   42.11573       497.0000    
   42.14915       498.0000    
   42.18258       520.0000    
   42.21600       555.0000    
   42.24942       519.0000    
   42.28284       534.0000    
   42.31627       523.0000    
   42.34969       554.0000    
   42.38311       525.0000    
   42.41653       552.0000    
   42.44995       501.0000    
   42.48338       510.0000    
   42.51680       493.0000    
   42.55022       505.0000    
   42.58364       487.0000    
   42.61707       500.0000    
   42.65049       523.0000    
   42.68391       504.0000    
   42.71733       498.0000    
   42.75076       492.0000    
   42.78418       477.0000    
   42.81760       512.0000    
   42.85102       507.0000    
   42.88445       549.0000    
   42.91787       477.0000    
   42.95129       523.0000    
   42.98471       551.0000    
   43.01814       557.0000    
   43.05156       528.0000    
   43.08498       530.0000    
   43.11840       556.0000    
   43.15183       508.0000    
   43.18525       507.0000    
   43.21867       506.0000    
   43.25209       503.0000    
   43.28552       524.0000    
   43.31894       514.0000    
   43.35236       491.0000    
   43.38578       493.0000    
   43.41921       518.0000    
   43.45263       500.0000    
   43.48605       467.0000    
   43.51947       483.0000    
   43.55290       515.0000    
   43.58632       521.0000    
   43.61974       465.0000    
   43.65316       495.0000    
